Musei di competenza di Roma Capitale per numero di visitatori e tipologia;;;
Roma Capitale;;;
Anno 2010;;;
;;;
Musei;2010;;
;Paganti ;Gratuiti;Totale visitatori
Museo dell'Ara pacis;141.554;118.268;259.822
Museo di Scultura antica Giovanni Barracco;4.266;10.718;14.984
Museo Carlo Bilotti;6.341;9.973;16.314
Museo di Roma;15.562;22.778;38.340
Musei Capitolini;357.284;115.772;473.056
Museo della Civilta' Romana;15.619;46.373;61.992
Planetario;52.720;27.679;80.399
Villa di Massenzio;5.333;8.390;13.723
Museo Civico di zoologia;6.624;40.633;47.257
Musei del territorio;16.299;17.197;33.496
Macro  ;32.180;64.022;96.202
Macro Testaccio;32.807;27.526;60.333
Casa Moravia;132; - ;132
Centrale Montemartini;19.371;26.098;45.469
Mercati di Traiano - Museo dei Fori Imperiali;82.295;83.024;165.319
Museo Pietro Canonica;3.922;8.508;12.430
Museo delle Mura;3.190;2.960;6.150
Museo di Roma in Trastevere;18.720;26.445;45.165
Museo Napoleonico;5.764;11.030;16.794
Casino Nobile;12.739;31.064;43.803
Casino delle Civette;12.585;31.136;43.721
Totale;845.307;729.594;1.574.901
